idinst,city,inverter,power
101162,Warszawa,Fronius Symo 5.0-3-M,5325
101213,Warszawa,Fronius-Symo 6.0-3-M,6500
18327,Warszawa,SOFAR 17KTLX-G3,10000
11724,Warszawa,SOLAREDGE,7400
16495,Warszawa,deye mikro,9800
12991,Warszawa,SolarEdge SE7K,7360
100336,Warszawa,Fronius Symo 4.5-3-M,4930
25506,Warszawa,SOFAR 30kW,30000
13367,Warszawa,SE7K,7140
13532,Warszawa,SolarEdge SE9K,9600
19198,Kraków,SolarEdge,7200
101246,Kraków,Fronius Symo 10.03-M,9900
19388,Kraków,Growatt MOD 9KTL-3XH,9595
101157,Kraków,Fronius 8.2 kW,9875
100561,Kraków,Fronius Symo 4.5-3-S,5610
101131,Kraków,Fronius Symo 4.5-3-S,5180
101177,Szczecin,Fronius,6000
14717,Szczecin,SolarEdge SE10K-RW0TEBNN4,8840
100749,Szczecin,Fronius Symo 5.0-3-M,5300
